City,School,Address,Type,Start,End,Grade,Count
札幌市立,日新小学校,札幌市中央区北8条西25丁目,学級閉鎖,2015/03/17,2015/03/20,１年,34
札幌市立,緑丘小学校,札幌市中央区南10条西22丁目,学級閉鎖,2015/03/17,2015/03/19,５年,33
札幌市立,西岡南小学校,北海道札幌市豊平区西岡4条12丁目,学級閉鎖,2015/03/17,2015/03/19,２年,30
札幌市立,常盤小学校,札幌市南区常盤6条2丁目107番地,学級閉鎖,2015/03/17,2015/03/19,１年,24
札幌市立,澄川西小学校,北海道札幌市南区澄川二条５丁目7-2,学年閉鎖,2015/03/17,2015/03/19,２年,31
札幌市立,手稲中央小学校,札幌市手稲区手稲本町3条2丁目,学級閉鎖,2015/03/17,2015/03/20,２年,33
札幌市立,富丘小学校,北海道札幌市手稲区富丘一条,学級閉鎖,2015/03/17,2015/03/19,２年,30
札幌市立,前田小学校,札幌市手稲区前田6条11丁目3-1,学級閉鎖,2015/03/17,2015/03/19,１年,18
札幌市立,稲積小学校,札幌市手稲区前田5条7丁目,学年閉鎖,2015/03/17,2015/03/19,４年,39
札幌市立,西小学校,札幌市西区発寒7条13丁目,学級閉鎖,2015/03/18,2015/03/20,４年,33
札幌市立,本郷小学校,札幌市白石区南郷通10丁目南３－１,学級閉鎖,2015/03/19,2015/03/22,３年,32
